简介,关键词
本数据集通过全国34个省会城市的人口流入流出统计来刻画城市人群的移动通量特征。数据为2017年全年经网络爬虫数据和数据再分析技术获得的全国省会城市逐月人口迁徙数据，以34个省会城市（含特别行政区、直辖市）为地理单元，通过数据统计手段，获得省会城市逐月人口流入、流出量，反映省会城市之间人口迁徙。数据格式为CSV格式。,迁徙;城市;人口
本数据集通过全国34个省会城市之间的逐月人口迁徙来反映各城市的人口动态分布变化。数据为2017年全年经网络爬虫数据和数据再分析技术获得的全国省会城市逐月人口迁徙指数数据，以34个省会城市（含特别行政区、直辖市）为地理单元，通过数据统计手段，获得省会城市逐月人口迁徙指数，反映省会城市之间人口迁徙程度。数据格式为CSV格式。,迁徙;城市;人口
"本数据集为2015-2017年中国大陆地区的逐日温度时空分布数据，共365*3期，原始数据是中国气象局发布的温度站点数据，经GAM方法和bagging思想数据建模得到。数据格式为TIFF格式，空间分辨率为1km。

",湿度;气象要素;空间插值
"本数据集为国家级重点预防保护区2015年水土流失面积（动态监测区域）数据，包含土壤侵蚀强度，并按照侵蚀强度分为轻度、中度、强烈、极强烈、剧烈，主要包括国家级重点预防保护区，包括大兴安岭、呼伦贝尔、长白山、滦河、黑河绿洲、塔里木河绿洲、子午岭、六盘山、三江源、金沙江上游、岷江上游、桐柏山大别山、新安江、东江上游区域统计各侵蚀强度的面积以及各侵蚀强度面积占土壤侵蚀面积的比例以及以及国家级重点治理区水土流失状况（动态监测区域），并按照侵蚀强度分为轻度、中度、强烈、极强烈、剧烈，主要包括东北黑土地治理区、西辽河大凌河中上游治理区、永定河治理区、太行山治理区、河龙区间多沙粗沙治理区、泾河北洛河上游治理区、祖丽河渭河上游治理区、湟水洮河中下游治理区、伊洛河三门峡库区等区域统计各侵蚀强度的面积以及各侵蚀强度面积占土壤侵蚀面积的比例。本数据来源于中华人民共和国水利部的2015年中国水土保持公报，通过手动录入获取。

",保护区;水土流失;水土保持公报
"本数据集为2015-2017年中国大陆地区的逐日气压时空分布数据，共1096（365*2+366）期，原始数据是中国气象数据网发布的中国699个基准、基本气象站从2015至2018年的气压日值数据（中国地面气候资料日值数据集（V3.0）），经广义加性模型（Generalized Additive Models，GAM）方法建模得到。数据格式为GeoTiff格式，空间分辨率为1公里。

",逐日气压;气象;中国
该数据基于手机用户定位信息在公里网格上按时间进行聚合统计而来，数值归一化到0-1之间，反映网络用户在网格单元上的定位活动强弱。数据格式为TIFF格式，空间分辨率为0.01度。,网络;用户活跃度;城市
该数据基于手机用户定位信息以城市为单元按时间进行聚合统计而来，数值归一化到0-2之间，反映网络用户在城市尺度的定位活跃程度。数据格式为Shapefile格式。,网络;用户活跃度;城市
该数据是采用一种融合STL和ESD方法的时序异常检测技术检测用户活动异常情况，用城市内部网格的异常检测次数量化其异常程度。,网络用户;活动异常;城市
本数据集是特定城市（如北京）内部人口动态分布-全国省会城市2018年1月至12月逐月人口迁徙网络数据，该数据基于互联网用户手机定位信息的迁移变化，推算城市间人群的迁徙网络。,迁徙;城市;人口
"本数据集提供特定城市（如北京）内部人群移动通量-全国省会城市2018年1月-12月逐月人口迁徙统计数据，该数据基于互联网用户手机定位信息的迁移变化，推算城市间人群的迁徙统计数据。

",迁徙;城市;人口
本数据集为松花江流域地表坡度栅格数据。基于2010年地表高程数据，使用arcgis软件经过数据拼接、投影转换、边界裁剪等影像处理，使用坡度计算工具，计算得到的松花江流域地表坡度栅格数据。,松花江流域;坡度;高程
本数据集为松花江流域地表高程栅格数据，使用arcgis软件经过数据拼接、投影转换、边界裁剪等影像处理方法得到。,松花江流域;高程;海拔
本数据集为松花江流域地表坡度栅格数据。基于2010年地表高程数据，使用arcgis软件经过数据拼接、投影转换、边界裁剪等影像处理，使用坡向计算工具，计算得到的松花江流域地表坡向栅格数据。,松花江流域;坡向;高程
本数据集为2000年松花江流域森林生态系统空间分布数据。是对2000年Landsat遥感影像进行面向对象解译得到的。其二级类型包括针叶林、阔叶林、混交林、灌木林、稀疏林。,松花江流域;森林生态系统;空间分布;遥感解译;2000年
本数据集为2000年松花江流域草地生态系统空间分布数据。是对2000年Landsat遥感影像进行面向对象解译得到的。其二级类型包括草甸、草原、草丛。,松花江流域;草地生态系统;空间分布;遥感解译;2000年
本数据集为2000年松花江流域湿地生态系统空间分布数据。是对2000年Landsat遥感影像进行面向对象解译得到的。其二级类型包括河流、湖泊、沼泽。,松花江流域;湿地生态系统;空间分布;遥感解译;2000年
本数据集为2000年松花江流域农田生态系统空间分布数据。是对2000年Landsat遥感影像进行面向对象解译得到的。其二级类型包括水田、旱地。,松花江流域;农田生态系统;空间分布;遥感解译;2000年
本数据集为2000年松花江流域盐碱地生态系统空间分布数据。是对2000年Landsat遥感影像进行面向对象解译得到的。,松花江流域;盐碱地生态系统;空间分布;遥感解译;2000年
本数据集为2000年松花江流域沙地生态系统空间分布数据。是对2000年Landsat遥感影像进行面向对象解译得到的。,松花江流域;沙地生态系统;空间分布;遥感解译;2000年
本数据集为1990年松花江流域森林生态系统空间分布数据。是对1990年Landsat遥感影像进行面向对象解译得到的。其二级类型包括针叶林、阔叶林、混交林、灌木林、稀疏林。,松花江流域;森林生态系统;空间分布;遥感解译;1990年
本数据集为1990年松花江流域草地生态系统空间分布数据。是对1990年Landsat遥感影像进行面向对象解译得到的。其二级类型包括草甸、草原、草丛。,松花江流域;草地生态系统;空间分布;遥感解译;1990年
本数据集为1990年松花江流域湿地生态系统空间分布数据。是对1990年Landsat遥感影像进行面向对象解译得到的。其二级类型包括河流、湖泊、沼泽。,松花江流域;湿地生态系统;空间分布;遥感解译;1990年
本数据集为1990年松花江流域农田生态系统空间分布数据。是对1990年Landsat遥感影像进行面向对象解译得到的。其二级类型包括水田、旱地。,松花江流域;农田生态系统;空间分布;遥感解译;1990年
本数据集为1990年松花江流域盐碱地生态系统空间分布数据。是对1990年Landsat遥感影像进行面向对象解译得到的。,松花江流域;盐碱地生态系统;空间分布;遥感解译;1990年
本数据集为1990年松花江流域沙地生态系统空间分布数据。是对1990年Landsat遥感影像进行面向对象解译得到的。,松花江流域;沙地生态系统;空间分布;遥感解译;1990年
"经过图形处理的黑河流域2000-2010年逐月NDVI数据。坐标系统为经纬度投影，空间范围为：96.5E–102.5E, 37.5N–43N。数据格式为GEOTIFF",黑河;2000-2010;NDIV
2000年黑河流域人口格网化数据基于2000年的1：10万土地利用数据和各县人口统计数据生成。,黑河;2000年人口格网;土地利用数据;人口统计数据
该数据由2000年中国1：10万土地利用数据直接裁剪得到。黑河流域1：10万土地利用数据采用一个分层的土地覆盖分类系统，将全流域分为6个一级类（耕地、林地、草地、水域、城乡、工矿、居民用地和未利用土地），26个二级类；数据类型为矢量多边形，以Shape格式存储；数据投影有两种：WGS84/ALBERS；数据范围覆盖新的黑河流域边界（缺外蒙古数据）,黑河流域;2000年;土地利用/土地覆盖
黑河流域1：10万（2011年）土地覆被数据和以往土地覆被采用同一个分层的土地覆被分类系统，将全流域划分为6个一级类（耕地、林地、草地、水域、城镇和农村居民及工矿用地和未利用土地），25个二级类；数据类型为矢量多边形，以Shape格式存储,黑河流域;2011年;土地利用/土地覆被
本套数据主要包括黑河流域青海、甘肃、内蒙古三省区6个地级市12个县的人口统计数据，数据涉及的时间段为：2000-2009年。,黑河流域;青海;甘肃;内蒙古;人口数据
水库是指用坝 、堤、水闸、堰等工程，于山谷、河道或低洼地区形成的人工水域，它是用于径流调节以改变自然水资源分配过程的主要措施，对社会经济发展有重要作用。 黑河流域修建了众多水库，对该地区的水资源利用具有重要的影响,黑河流域;水库;人工水域
